序號,股票代號,CB代號,名稱,信用評等,擔保,發行規模,轉換價格,發行年期,詢圈競拍,發行券商,產業分類,產業地位,股本大小,發行價格,到期還本價格,訂價溢價率,掛牌日期,到期日期,掛牌最高,掛牌最低
909,3521,35211,鴻翊一,彰化銀行,有擔保,2.0,14.25,3.0,詢圈,永豐金證,電腦及週邊設備業,台灣POS硬體系統服務製造商,7.83,101.0,100.0,1.023,2020-12-25,2023/12/25,199.0,106.0
910,3522,35221,御嵿一,兆豐銀行,有擔保,1.5,19.5,3.0,競拍,兆豐證券,觀光餐旅,連鎖餐飲事業，擁有頂鮮餐廳及晶宴會館,8.25,113.62,101.5075,1.029,2023-12-18,2026/12/18,159.0,102.1
911,3523,35231,迎輝一,0,,5.0,53.55,5.0,詢圈,,光電業,各式光學與光電膜產品製造商,,,,,2010-05-10,2015/05/10,117.9,96.15
912,3526,35261,凡甲一,0,,2.0,82.8,3.0,詢圈,,電子零組件業,強茂轉投資之連接器廠,,,,,2010-01-29,2013/01/29,150.0,99.2
913,3526,35262,凡甲二,永豐銀行,有擔保,2.0,24.8,3.0,詢圈,華南永昌,電子零組件業,強茂轉投資之連接器廠,5.91,100.0,0.0,1.01,2013-10-31,2016/10/21,197.0,102.0
914,3526,35263,凡甲三,6,無擔保,5.0,78.1,3.0,詢圈,兆豐證券,電子零組件業,強茂轉投資之連接器廠,5.91,100.0,100.0,1.1,2017-03-15,2020/03/15,130.55,100.5
915,3526,35264,凡甲四,5,無擔保,8.0,73.0,5.0,詢圈,凱基證券,電子零組件業,強茂轉投資之連接器廠,5.91,101.0,100.0,1.1,2019-09-30,2024/09/30,356.0,103.9
916,3526,35265,凡甲五,5,無擔保,8.0,207.3,5.0,詢圈,凱基證券,電子零組件業,強茂轉投資之連接器廠,5.91,101.0,100.0,1.1496,2022-02-14,2027/02/14,174.0,99.0
917,3526,35266,凡甲六,5,無擔保,10.0,223.2,5.0,詢圈,凱基證券,電子零組件業,強茂轉投資之連接器廠,5.91,101.0,100.0,1.1495,2024-01-29,2029/01/29,140.0,104.0
918,3527,35271,聚積一,5,無擔保,3.0,70.0,5.0,詢圈,凱基證券,半導體業,全球LED顯示屏驅動IC設計龍頭廠,4.44,101.0,100.0,1.095,2017-11-02,2022/11/02,231.0,110.5
919,3533,35331,嘉澤一,4,無擔保,10.0,563.2,3.0,競拍,元大證券,電子零組件業,全球前三大CPU Socket製造商,11.1,115.45,100.0,1.02,2021-08-19,2024/08/19,167.0,112.8
920,3533,35332,嘉澤二,4,無擔保,10.0,862.1,3.0,競拍,元大證券,電子零組件業,全球前三大CPU Socket製造商,11.1,108.14,100.0,1.02,2023-03-09,2026/03/09,211.0,110.2
921,3535,35351,晶科一,0,,2.0,40.1,3.0,詢圈,,光電業,國內面板前段自動光學檢測設備大廠,,,,,2010-08-23,2013/08/23,113.0,98.0
922,3535,35352,晶彩科二,遠東銀行,有擔保,2.0,16.5,3.0,詢圈,華南永昌,光電業,國內面板前段自動光學檢測設備大廠,7.91,100.0,103.03,1.035,2014-09-09,2017/08/30,128.0,100.5
923,3536,35361,誠創一,0,,4.0,9.6,5.0,詢圈,,,,,,,,2009-11-07,2014/11/07,142.9,99.5
924,3536,35363,誠創三,,,,21.6,,詢圈,元大證券,,,,100.0,100.0,0.0,,,127.0,98.85
925,3545,35451,敦泰一,5,無擔保,10.0,57.03,5.0,詢圈,永豐金證,半導體業,台灣中小尺寸LCD驅動IC廠,21.8,100.0,100.0,1.01,2013-06-17,2018/06/07,134.7,91.0
926,3548,35481,兆利一,5,無擔保,4.0,72.0,3.0,競拍,永豐金證,電子零組件業,全球前三大NB樞紐生產商,6.48,109.57,100.0,1.0286,2022-04-28,2025/04/28,325.0,101.6
927,3548,35482,兆利二,5,無擔保,8.0,199.0,3.0,競拍,永豐金證,電子零組件業,全球前三大NB樞紐生產商,6.48,113.2,100.0,1.0311,2024-01-08,2027/01/08,155.0,97.6
928,3548,35483,兆利三,4,無擔保,15.0,170.0,5.0,競拍,凱基證券,電子零組件業,全球前三大NB樞紐生產商,6.61,110.05,100.0,1.0385,2025-02-25,2030-02-25 00:00:00,119.5,99.65
929,3551,35511,世禾一,0,,3.0,,2.0,詢圈,,綠能環保,精密洗淨及再生處理加工的龍頭廠商,,,,,2009-08-22,2011/08/22,162.0,95.0
930,3551,35512,世禾二,0,,3.5,39.74,3.0,詢圈,,綠能環保,精密洗淨及再生處理加工的龍頭廠商,,,,,2010-04-18,2013/04/18,136.0,105.5
931,3552,35521,同致一,0,,2.5,124.0,3.0,詢圈,,其他業電子業,全球知名倒車雷達大廠,,,,,2009-12-03,2012/12/03,149.2,99.2
932,3552,35522,同致二,0,,4.0,145.0,5.0,詢圈,,其他業電子業,全球知名倒車雷達大廠,,,,,2010-10-14,2015/10/14,187.0,96.0
933,3552,35523,同致三,5,無擔保,3.0,73.5,5.0,詢圈,永豐金證,其他業電子業,全球知名倒車雷達大廠,8.56,,,1.0869,2013-01-29,2018/01/19,545.0,102.0
