序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
166,2023-11-24,2368,23682,金像電二,49.2,40.0,5,無擔保,4,34000,105.0,2023-11-22,221.0,223.1,1.02,99.06,105.12,0.0612,107.16,0.0818,富邦證券,電子零組件業,797,42859,1.26,53.78,2023-11-20,3400.0,2023-12-05,3643279440.0,0.5,130.0,107.16
167,2023-11-27,8996,89964,高力四,8.9,10.0,5,無擔保,5,8500,101.0,2023-11-23,245.0,240.0,1.039,102.08,111.6,0.0932,113.8,0.1148,兆豐證券,電機機械,1031,34645,4.08,33.6,2023-11-21,850.0,2023-12-06,967263040.0,0.5,220.0,113.8
168,2023-12-04,2427,24271,三商電一,19.7,5.0,5,無擔保,7,4250,102.0,2023-11-30,27.25,27.32,1.025,99.74,102.0,0.0226,102.68,0.0294,台新證券,資訊服務業,146,4322,1.02,29.6,2023-11-28,425.0,2023-12-13,400144360.0,0.5,118.0,102.0
169,2023-12-05,6284,62843,佳邦一,14.9,7.0,3,無擔保,5,5950,102.0,2023-12-01,85.3,92.0,1.1,92.72,107.61,0.1606,108.68,0.1722,台新證券,電子零組件業,809,23952,4.03,29.61,2023-11-29,595.0,2023-12-14,646625280.0,0.5,115.0,108.68
170,2023-12-07,3522,35221,御頂一,6.3,1.5,3,有擔保,9,1350,101.0,2023-12-05,21.0,19.5,1.029,107.69,112.68,0.0463,113.62,0.055,兆豐證券,觀光餐旅,260,7420,5.5,28.54,2023-12-01,135.0,2023-12-18,153382480.0,0.5,118.0,113.62
171,2023-12-08,8488,84881,吉源一KY,6.8,3.0,3,有擔保,7,2550,101.0,2023-12-06,18.6,18.5,1.025,100.54,102.71,0.0216,104.67,0.0411,玉山證券,其他業,191,5497,2.16,28.78,2023-12-04,255.0,2023-12-19,266913480.0,0.5,112.83,104.67
172,2023-12-26,6015,60152,宏遠證二,35.1,6.0,5,無擔保,BBB,6000,100.0,2023-12-22,10.85,10.92,1.021,99.36,100.05,0.007,101.36,0.0201,凱基證券,證券業,200,11413,1.9,57.07,2023-12-20,600.0,2024-01-05,608160270.0,0.5,107.1,101.36
173,2023-12-27,3548,35482,兆利二,6.6,8.0,3,無擔保,5,7200,101.0,2023-12-25,195.5,199.0,1.031,98.24,112.12,0.1413,113.2,0.1523,永豐金證,電子零組件業,1246,42464,5.9,34.08,2023-12-21,720.0,2024-01-08,815044010.0,0.5,118.91,113.2
174,2024-01-09,6715,67152,嘉基二,6.3,3.0,3,無擔保,5,2550,100.0,2024-01-05,157.5,168.0,1.021,93.75,113.87,0.2146,114.74,0.2239,中信證券,電子零組件業,848,22565,8.85,26.61,2024-01-03,255.0,2024-01-18,292598840.0,0.5,117.38,114.74
175,2024-01-10,8210,82101,勤誠一,12.1,10.0,3,無擔保,4,8974,102.0,2024-01-08,242.5,271.0,1.021,89.48,108.1,0.208,109.69,0.2258,元大證券,電腦及週邊設備業,862,32252,3.59,37.42,2024-01-04,897.0,2024-01-19,984373650.0,0.5,158.0,109.69
176,2024-01-11,3479,34793,安勤三,7.2,6.5,3,無擔保,5,5700,100.0,2024-01-09,112.0,121.5,1.023,92.18,108.5,0.177,109.53,0.1882,凱基證券,電腦及週邊設備業,616,25637,4.5,41.62,2024-01-05,570.0,2024-01-22,624292740.0,0.5,116.87,109.53
177,2024-01-17,4967,49673,十銓三,7.2,12.0,3,有擔保,6,10800,102.0,2024-01-15,85.2,81.0,1.021,105.19,114.16,0.0853,116.16,0.1043,永豐金證,半導體業,885,31244,2.89,35.3,2024-01-11,1080.0,2024-01-26,1254497820.0,0.5,121.19,116.16
178,2024-01-17,2476,24762,鉅祥二,19.1,10.0,3,無擔保,4,8500,102.0,2024-01-15,73.6,72.2,1.02,101.94,112.51,0.1037,113.8,0.1164,中信證券,電子零組件業,792,29362,3.45,37.07,2024-01-11,850.0,2024-01-26,967266980.0,0.5,121.1,113.8
179,2024-02-21,5263,52635,智崴五,6.5,8.0,3,有擔保,7,6800,100.0,2024-02-19,115.5,112.0,1.023,103.13,112.94,0.0952,114.83,0.1135,台新證券,文化創意業,692,28230,4.15,40.79,2024-02-15,680.0,2024-03-04,780836290.0,0.5,117.0,114.83
180,2024-02-21,5321,53211,美而快一,5.0,2.0,3,無擔保,7,1700,100.0,2024-02-19,88.3,92.0,1.035,95.98,104.0,0.0836,105.95,0.1039,台新證券,數位雲端,212,5336,3.14,25.17,2024-02-15,170.0,2024-03-04,180116430.0,0.5,116.3,105.95
